CO(GT)_winsor,PT08.S1(CO)_winsor,PT08.S4(NO2)_winsor,T_winsor,RH_winsor,AH_winsor,day_winsor,year_winsor,quarter_winsor,weekday_winsor,NO2(GT)_winsor,air_quality
0.6929682253359286,0.5892120778004656,0.4383965397982055,0.24977671277942592,1.0,0.40261091898076695,0.8579031379569667,0.0,1.0,0.0,0.7015979511025835,bad
0.34760570114363315,0.43743828308397953,0.1621805089199314,0.2374902674590057,0.6260695024364921,0.09496837899244881,0.5487651171345129,0.9999999999999999,0.0,0.3562071871080222,0.8553214535904754,bad
0.12521368402069394,0.1651159685003205,0.6048284830597046,0.9461469962666355,0.48701607086166276,0.9999999999999999,0.5487651171345129,0.0,0.7564707973660301,1.0,0.0,good
0.5722331198922571,0.43876196818232593,0.7473312592514693,0.954421286846751,0.10107384625023719,0.5680484305895654,0.14793461295398447,0.0,0.7564707973660301,0.8270874753469162,0.841699163233697,bad
1.0,1.0,1.0,0.8119242106479803,0.6815542987499887,0.8430872853061543,1.0,0.0,0.7564707973660301,0.7124143742160444,0.903666941085137,bad
0.7530034235897791,0.3215642977514219,0.30958219682534965,0.5196453149523252,0.13167862272565195,0.0,0.6219801511060205,0.0,1.0,0.8270874753469162,0.7987445051855374,bad
0.5126603904451111,0.7240686248027323,0.7712358736533582,0.562227824191173,0.8638673605486767,0.561737276389309,0.7808066668668416,0.0,0.0,0.3562071871080222,0.5842198968539452,bad
0.6439639471333972,0.5856399702714928,0.38553240680705936,0.39930196631607334,0.4635581097752225,0.0788590315720859,0.8213875231515277,0.9999999999999999,0.0,0.8270874753469162,0.9678416983901013,bad
0.6439639471333972,0.6417356371281123,0.5766429276916555,0.48035468504767503,0.8957003535583761,0.4903647478308339,0.5057917824530875,0.0,1.0,0.3562071871080222,0.5563670864324628,moderate
0.8824185082893659,0.9612581110225932,0.6530218291332117,0.42927589190389803,1.0,0.5559260268762449,0.935826000449392,0.0,1.0,0.9207822211616019,0.7015979511025835,bad
0.44701943587156323,0.4584695972032155,0.75516169039436,0.9291511002223773,0.43544467142868715,0.8784663632813161,1.0,0.0,0.7564707973660301,0.9207822211616019,0.6410556219604729,bad
0.08611609406524312,0.2568428275758179,0.37340441268923186,0.5021894023344645,0.9453482033487193,0.5675892378418226,1.0,0.9999999999999999,0.0,0.7124143742160444,0.3185279287168744,moderate
0.0,0.09766773373591947,0.5193418551676738,0.7315617029677912,0.5316333398497782,0.5012968488897982,1.0,0.0,0.4425070493497598,0.0,0.0,good
0.3992262617307109,0.0824201650287078,0.0,0.0,0.4744856023400692,0.0,0.9756675420978557,0.9999999999999999,0.0,0.0,0.6836504851340166,bad
0.552980564128437,0.5122294877841951,0.6817873801969077,0.6807517589114533,0.964058283004876,0.8839796980155554,0.14793461295398447,0.0,1.0,0.3562071871080222,0.3008609379189088,moderate
0.44701943587156323,0.9812124632363268,1.0,0.5021894023344645,0.8986096134200308,0.5224242825675914,0.8579031379569667,0.0,0.4425070493497598,0.3562071871080222,0.6159271430515758,bad
0.4915138165113889,0.4843252501463329,0.525368800146744,0.8264792528811928,0.3542363189292145,0.5098833948869443,0.5487651171345129,0.0,0.7564707973660301,0.5645750340535796,0.7189930988105544,bad
0.23002420943299887,0.34861948477125526,0.6830758828249781,0.6292878376017917,0.989077012882918,0.812788601936085,0.33431018369394655,0.0,0.4425070493497598,0.3562071871080222,0.36042099453802184,moderate
0.44701943587156323,0.0,0.39836909907157425,0.4495795045718102,0.8819565958188988,0.44414862717350545,0.5487651171345129,0.0,0.4425070493497598,0.9207822211616019,0.6159271430515758,bad
0.4915138165113889,0.43213108446503884,0.4886627662488541,0.46521734365240397,1.0,0.600386455818237,0.0,0.0,1.0,0.5645750340535796,0.6055544172617836,bad
0.7671779001772243,0.612797683765654,0.699046718411514,0.8805955262788279,0.1751461860144306,0.4536049176679958,0.9880365791010188,0.0,0.7564707973660301,0.5645750340535796,0.9098115417433543,bad
0.916669710367256,0.8668194703017835,0.7882239866230585,0.5653499579664386,0.9788359474768338,0.6902455092681787,0.14793461295398447,0.0,1.0,0.7124143742160444,0.6459500048701622,bad
0.12521368402069394,0.09260350434959314,0.5002755010499276,0.9291511002223773,0.03538878981147897,0.43252445732893346,0.6219801511060205,0.0,0.7564707973660301,0.9207822211616019,0.36042099453802184,moderate
0.7236841601156683,0.7874674495005899,0.8529434765681393,0.6265615963393181,0.64178507721248,0.43368414229381713,0.8401019661470341,0.0,0.0,0.8270874753469162,0.7358689100605467,bad
0.6267652552816597,0.6232838760764849,0.8867360478990205,0.8576774738553423,0.5734998798003558,0.8338533822626131,0.9495956213150413,0.0,0.4425070493497598,0.9207822211616019,0.6556134486412442,bad
0.7085090429499533,0.4361133545048518,0.5992531507251013,0.66589184941045,0.6762053645040901,0.5256767551289107,0.8016610083610566,0.0,1.0,0.8270874753469162,0.7103624320103493,bad
0.044494380639825803,0.13590093699235806,0.38553240680705936,0.6373735310703167,0.3050541721862593,0.1684392591288908,0.935826000449392,0.0,0.4425070493497598,0.3562071871080222,0.470176941923476,moderate
0.08611609406524312,0.1651159685003205,0.6450342469730999,0.7445214602162873,0.8131331621481369,0.8350918114217198,0.921516258614437,0.0,0.4425070493497598,0.7124143742160444,0.13523599174483952,good
0.6267652552816597,0.5880223802446736,0.7370001906640142,0.7022013480323582,0.9596500187394743,0.9221067696309244,0.0,0.0,1.0,0.0,0.3763459263464003,moderate
