CO(GT)_winsor,PT08.S1(CO)_winsor,PT08.S4(NO2)_winsor,T_winsor,RH_winsor,AH_winsor,day_winsor,year_winsor,quarter_winsor,weekday_winsor,NO2(GT)_winsor,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,day,year,quarter,month,weekday,week_year,CO(GT)_winsor,PT08.S1(CO)_winsor,C6H6(GT)_winsor,PT08.S2(NMHC)_winsor,NOx(GT)_winsor,PT08.S3(NOx)_winsor,NO2(GT)_winsor,PT08.S4(NO2)_winsor,PT08.S5(O3)_winsor,T_winsor,RH_winsor,AH_winsor,day_winsor,year_winsor,quarter_winsor,month_winsor,weekday_winsor,week_year_winsor,air_quality
0.6090953082220234,0.7833283816179578,0.7479357325047735,0.5463003412656599,0.6667421707226778,0.35446428480476094,0.6219801511060205,0.0,0.0,0.5645750340535796,0.6361184928074457,2.6,1360.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,10.0,2004.0,1.0,3.0,2.0,11.0,2.6,1360.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,10.0,2004.0,1.0,3.0,2.0,11.0,bad
0.4915138165113889,0.7110395587621529,0.6642318711475583,0.5364798871377197,0.6502063975333329,0.32941856145565185,0.6219801511060205,0.0,0.0,0.5645750340535796,0.5210244727559249,2.0,1292.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,10.0,2004.0,1.0,3.0,2.0,11.0,2.0,1292.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,10.0,2004.0,1.0,3.0,2.0,11.0,moderate
0.5331355299368062,0.8261943637595581,0.661605243385246,0.48774548462886336,0.7328474202787545,0.34861282568097807,0.6219801511060205,0.0,0.0,0.5645750340535796,0.6410556219604729,2.2,1402.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,10.0,2004.0,1.0,3.0,2.0,11.0,2.2,1402.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,10.0,2004.0,1.0,3.0,2.0,11.0,bad
0.5331355299368062,0.7998122667701808,0.6804972527227218,0.45353769963342483,0.803183756865886,0.37648654931630776,0.6219801511060205,0.0,0.0,0.5645750340535796,0.6790731508556048,2.2,1376.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,10.0,2004.0,1.0,3.0,2.0,11.0,2.2,1376.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,10.0,2004.0,1.0,3.0,2.0,11.0,bad
0.3992262617307109,0.6890533556420706,0.6179493838450698,0.46135608507019443,0.7987145885130948,0.3780728738858462,0.6219801511060205,0.0,0.0,0.5645750340535796,0.6508023753912368,1.6,1272.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,10.0,2004.0,1.0,3.0,2.0,11.0,1.6,1272.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,10.0,2004.0,1.0,3.0,2.0,11.0,bad
0.2914909570500469,0.603410718207712,0.54912768387686,0.46135608507019443,0.7942158228032601,0.3750496958634551,0.6219801511060205,0.0,0.0,0.5645750340535796,0.5448299983468787,1.2,1197.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,10.0,2004.0,1.0,3.0,2.0,11.0,1.2,1197.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,10.0,2004.0,1.0,3.0,2.0,11.0,moderate
0.2914909570500469,0.5892120778004656,0.5041173041053988,0.46521734365240397,0.7665790160028695,0.35638357829546624,0.6537263954070721,0.0,0.0,0.7124143742160444,0.42159388447585344,1.2,1185.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,11.0,2004.0,1.0,3.0,3.0,11.0,1.2,1185.0,3.6,690.0,62.0,1448.0,77.0,1333.0,733.0,11.3,56.8,0.7603,11.0,2004.0,1.0,3.0,3.0,11.0,moderate
0.23002420943299887,0.5297035247220921,0.5041173041053988,0.44156233722431804,0.803183756865886,0.3639573045793856,0.6537263954070721,0.0,0.0,0.7124143742160444,0.41429961946768007,1.0,1136.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,11.0,2004.0,1.0,3.0,3.0,11.0,1.0,1136.0,3.3,672.0,62.0,1448.0,76.0,1333.0,730.0,10.7,60.0,0.7702,11.0,2004.0,1.0,3.0,3.0,11.0,moderate
0.1969445112618341,0.47661820163074026,0.45944146280778053,0.44156233722431804,0.7998346401096499,0.359831447612559,0.6537263954070721,0.0,0.0,0.7124143742160444,0.2826239468762788,0.9,1094.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,11.0,2004.0,1.0,3.0,3.0,11.0,0.9,1094.0,2.3,609.0,45.0,1448.0,60.0,1276.0,620.0,10.7,59.7,0.7648,11.0,2004.0,1.0,3.0,3.0,11.0,moderate
0.08611609406524312,0.36404902707639236,0.4260553654042505,0.4251084504112653,0.8054073632356535,0.34976972891168945,0.6537263954070721,0.0,0.0,0.7124143742160444,0.6159271430515758,0.6,1010.0,1.7,561.0,180.0,1705.0,109.0,1235.0,501.0,10.3,60.2,0.7517,11.0,2004.0,1.0,3.0,3.0,11.0,0.6,1010.0,1.7,561.0,180.0,1448.0,109.0,1235.0,501.0,10.3,60.2,0.7517,11.0,2004.0,1.0,3.0,3.0,11.0,bad
